# 2006 6 3 14 12 39.81  -7.9142 110.4738    9.39   1.54 0  0 0 1
# 2006 6 3 15 16 57.63  -7.8718 110.4958   10.36   1.12 0 0 0 50
WON   3.01 1   P
WON   4.68 0.5 S
WAN   2.67 1   P
WAN   4.02 0.5 S
TRI   5.50 0.7 P
TRI   9.00 0.5 S
RAT   5.09 0.7 P
RAT   8.80 0.5 S
PEL   5.13 0.7 P
PEL   8.24 0.5 S
PAL   3.46 1   P
PAL   5.92 0.5 S
NGL   2.82 1   P
NGL   4.27 0.5 S
DES   3.95 1   P
BUM   7.17 0.7 P
BUM  11.51 0.5 S
# 2006 6 3 15 20 55.68  -7.8827 110.4772    9.19   1.17 0 0 0 51
WON  2.98 1   P
WON  3.71 0.7 S
WAN  2.60 1   P
WAN  3.77 0.7 S
TRI  4.81 0.7 P
TRI  8.10 0.7 S
RAT  4.51 0.7 P
PEL  5.00 0.7 P
PEL  7.51 0.7 S
PAL  2.98 1   P
NGL  3.17 1   P
NGL  4.49 0.5 S
DES  4.41 0.7 P
# 2006 6 3 15 25 41.13  -7.8660 110.4927   11.33   0.95 0  0 0 52
WON  3.12 1   P
WON  4.71 0.5 S
WAN  2.89 1   P
WAN  4.28 0.5 S
TRI  5.65 0.7 P
TRI  8.85 0.5 S
RAT  5.02 0.7 P
PEL  5.14 0.7 P
PEL  7.82 0.5 S
PAL  3.49 1   P
NGL  2.96 1   P
NGL  4.31 0.5 S
DES  4.27 1   P
# 2006 6 3 15 45 11.08  -7.9518 110.4528    6.71   0.56 0 0 0 53
WON   2.46  1   P
WON   3.80  0.7 S
WAN   2.72  1   P
WAN   4.02  0.5  S
TRI   4.26  0.5  P
TRI   7.23  0.5  S
PEL   4.53  0.7 P
PEL   7.72  0.5  S
PAL   2.16  1  P
PAL   3.20  0.5  S
NGL   3.48  0.7 P
NGL   6.23  0.7 S
# 2006 6 3 15 48  9.67  -7.9595 110.4888    8.63   2.09 0 0 0 54
WON   2.65  0.7 P
WON   4.50  0.5 S
WAN   2.41  1   P
WAN   4.11  0.7 S
TRI   5.12  1   P
TRI   8.78  0.7 S
RAT   3.92  1   P
RAT   6.68  0.7 S
PEL   5.25  1   P
PAL   2.12  1   P
PAL   3.58  0.7 S
NGL   3.48  1   P
NGL   5.92  0.5 S
DES   5.27  0.7 P
BUM   6.85  0.7 P
BUM  12.06  0.7 S
# 2006 6 3 15 48 10.03  -7.9457 110.4715    5.68   2.04 0  0 0 55
WON   2.26 0.7   P
WON   3.65 0.7   S
WAN   2.05 1     P
WAN   3.34 0.7   S
TRI   4.76 1     P
TRI   8.01 0.7   S
RAT   3.53 1     P
RAT   6.49 0.5   S
PEL   4.87 1     P
PAL   1.76 1     P
PAL   3.21 0.7   S
NGL   3.11 1     P
NGL   5.36 0.5   S
BUM   6.50 0.7   P
BUM  11.89 0.5   S
# 2006 6 3 16 3 45.27  -7.9510 110.4705    5.89   0.53 0 0 0 56
WON  2.35 0.7  P
WON  4.02 0   S
WAN  2.14 1   P
WAN  3.19 0.5 S
