idx,sta,kind,recorder,sensor,sensor_sn,lat,lon,elev_m,start,end,days,operator
14,BH2,EDL,3054,L4-3D,1192,-7.52649,110.41065,1285,2004-05-08T07:00:00.000000Z,2004-09-29T09:30:00.000000Z,144.1,Dagmar
15,BH3,EDL,3089,L4-3D,1347A,-7.43732,110.33704,885,2004-05-11T10:00:00.000000Z,2004-10-06T04:00:00.000000Z,147.75,Mirjam
16,BI1,EDL,3090,L4-3D,1348A,-7.58026,110.4713,1125,2004-05-08T00:00:00.000000Z,2004-06-04T05:00:00.000000Z,27.21,Dagmar
17,BI2,EDL,3057,L4-3D,1329A,-7.53275,110.55353,650,2004-05-10T07:00:00.000000Z,2004-10-04T04:00:00.000000Z,146.88,Dagmar
18,BI4,EDL,3080,L4-3D,1342,-7.60581,110.52957,582,2004-05-11T07:00:00.000000Z,2004-10-04T05:00:00.000000Z,145.92,Dagmar
19,BJ1,EDL,3129,L4-3D,1894,-7.76979,110.63866,154,2004-05-10T11:00:00.000000Z,2004-09-29T02:35:00.000000Z,141.65,Birger
20,BJ2,EDL,3128,L4-3D,1893,-7.84295,110.76014,230,2004-05-11T00:00:00.000000Z,2004-10-04T12:00:00.000000Z,146.5,Birger
21,BK1,EDL,3034,L4-3D,1173,-7.86135,110.84589,214,2004-05-12T15:00:00.000000Z,2004-10-04T10:00:00.000000Z,144.79,Birger
22,BK2,EDL,3078,L4-3D,1339A,-7.65885,110.88086,132,2004-05-14T00:00:00.000000Z,2004-07-27T04:30:00.000000Z,74.19,Birger
23,BK3,EDL,3114,L4-3D,1875,-7.72834,110.98596,304,2004-05-15T00:00:00.000000Z,2004-10-05T06:00:00.000000Z,143.25,Birger
24,AE1,EDL,3109,L4-3D,1826,-7.7362,109.6564,50,2004-05-14T05:00:00.000000Z,2004-10-05T06:00:00.000000Z,144.04,Welle
25,AE2,EDL,3105,L4-3D,1818,-7.6763,109.4866,50,2004-05-15T02:00:00.000000Z,2004-06-08T00:00:00.000000Z,23.92,Welle
26,AE3,EDL,3106,L4-3D,1819,-7.5556,109.5844,255,2004-05-15T06:00:00.000000Z,2004-10-05T04:00:00.000000Z,142.92,Welle
27,AF1,EDL,3135,L4-3D,1904,-7.82125,109.83342,42,2004-05-12T06:00:00.000000Z,2004-10-05T08:00:00.000000Z,146.08,Dagmar
28,AF2,EDL,3061,L4-3D,1332,-7.6511,109.8954,120,2004-05-08T05:00:00.000000Z,2004-10-05T06:00:00.000000Z,150.04,Dagmar
29,AG1,EDL,3134,L4-3D,1903,-7.83642,110.04642,215,2004-05-12T06:00:00.000000Z,2004-10-06T06:00:00.000000Z,147.0,Mirjam
30,AG2,EDL,3133,L4-3D,1901,-7.63401,109.99567,210,2004-05-13T03:00:00.000000Z,2004-05-22T07:00:00.000000Z,9.17,Mirjam
31,AG3,EDL,3107,L4-3D,1822,-7.84336,109.94033,40,2004-05-13T06:00:00.000000Z,2004-05-28T03:40:00.000000Z,14.9,Mirjam
32,BG1,EDL,3092,L4-3D,1351A,-7.42543,110.10267,1300,2004-05-14T05:00:00.000000Z,2004-07-01T04:15:00.000000Z,47.97,Mirjam
33,BG2,EDL,3121,L4-3D,1890,-7.48676,110.04437,800,2004-05-15T06:00:00.000000Z,2004-10-06T08:00:00.000000Z,144.08,Mirjam
34,BG3,EDL,3033,L4-3D,1170,-7.3893,109.99378,1060,2004-05-17T05:00:00.000000Z,2004-09-07T02:00:00.000000Z,112.88,Pit
35,CG1,EDL,3112,L4-3D,1872,-7.26988,109.99025,1866,2004-05-13T08:00:00.000000Z,2004-06-04T07:30:00.000000Z,21.98,Pit
36,CG2,EDL,3066,L4-3D,1334,-7.17724,110.0377,905,2004-05-14T07:00:00.000000Z,2004-09-27T13:00:00.000000Z,136.25,Pit
37,CG3,EDL,3047,L4-3D,1187,-7.35913,110.1386,990,2004-05-15T05:00:00.000000Z,2004-05-26T07:00:00.000000Z,11.08,Pit
38,CI1,EDL,3095,L4-3D,1355A,-7.45,110.50234,1070,2004-05-11T10:00:00.000000Z,2004-10-06T09:00:00.000000Z,147.96,Dagmar
39,CI2,EDL,3097,L4-3D,1356A,-7.4174,110.62157,500,2004-05-14T06:00:00.000000Z,2004-09-02T03:00:00.000000Z,110.88,Dagmar
40,CI3,EDL,3091,L4-3D,1350A,-7.29246,110.561,500,2004-05-15T05:00:00.000000Z,2004-10-06T06:00:00.000000Z,144.04,Dagmar
41,CH1,EDL,3049,L4-3D,1189,-7.27396,110.2406,691,2004-05-18T04:00:00.000000Z,2004-10-04T07:00:00.000000Z,139.12,Pit
42,CH2,EDL,3051,L4-3D,1190,-7.22458,110.35304,993,2004-05-18T07:00:00.000000Z,2004-10-01T05:00:00.000000Z,135.92,Pit
43,BE1,EDL,3082,L4-3D,1342A,-7.3784,109.5666,270,2004-05-17T08:00:00.000000Z,2004-10-07T05:00:00.000000Z,142.88,Welle
44,BE2,EDL,3083,L4-3D,1343,-7.46213,109.60206,210,2004-05-18T03:00:00.000000Z,2004-10-06T12:00:00.000000Z,141.38,Welle
45,BE3,EDL,3108,L4-3D,1825,-7.33705,109.70866,570,2004-05-18T08:00:00.000000Z,2004-10-07T08:00:00.000000Z,142.0,Welle
46,BF1,EDL,3058,L4-3D,1330,-7.37186,109.8565,830,2004-05-17T07:00:00.000000Z,2004-10-07T09:00:00.000000Z,143.08,Dagmar
47,BF2,EDL,3059,L4-3D,1331,-7.49034,109.82459,525,2004-05-17T03:00:00.000000Z,2004-10-07T12:00:00.000000Z,143.38,Dagmar
48,BF3,EDL,3060,L4-3D,1331A,-7.47501,109.95369,910,2004-05-19T05:00:00.000000Z,2004-09-01T00:00:00.000000Z,104.79,Dagmar
49,CJ1,EDL,3038,L4-3D,1178,-7.51903,110.69235,201,2004-05-19T05:00:00.000000Z,2004-10-04T04:00:00.000000Z,137.96,Pit
50,CJ2,EDL,3027,L4-3D,1182,-7.35847,110.73834,230,2004-05-19T08:00:00.000000Z,2004-10-06T08:00:00.000000Z,140.0,Pit
51,CK1,EDL,3071,L4-3D,1332A,-7.63768,111.13364,1190,2004-05-19T08:00:00.000000Z,2004-06-10T05:30:00.000000Z,21.9,Mirjam
52,CK2,EDL,3104,L4-3D,1816,-7.35486,110.92136,150,2004-05-22T07:00:00.000000Z,2004-10-01T06:00:00.000000Z,131.96,Pit
53,CF1,EDL,3079,L4-3D,1340A,-7.27323,109.90872,1250,2004-05-20T02:00:00.000000Z,2004-10-07T06:00:00.000000Z,140.17,Dagmar
54,CF2,EDL,3137,L4-3D,1906,-7.19732,109.85027,1780,2004-05-20T07:00:00.000000Z,2004-06-16T05:00:00.000000Z,26.92,Dagmar
55,AH4,EDL,3087,L4-3D,1346,-7.81151,110.29389,180,2004-05-21T05:00:00.000000Z,2004-10-05T11:00:00.000000Z,137.25,Pit
56,AF3,EDL,3099,L4-3D,1359A,-7.78646,109.7447,50,2004-05-19T06:00:00.000000Z,2004-06-08T08:00:00.000000Z,20.08,Welle
57,CE1,EDL,3117,L4-3D,1886,-7.2426,109.7201,1185,2004-05-20T08:00:00.000000Z,2004-10-07T09:00:00.000000Z,140.04,Welle
58,CE2,EDL,3111,L4-3D,1871,-7.25089,109.60251,700,2004-05-21T07:00:00.000000Z,2004-10-07T10:00:00.000000Z,139.12,Welle
59,AG4,EDL,3100,L4-3D,1360A,-7.84247,110.13904,160,2004-05-21T09:00:00.000000Z,2004-10-06T05:00:00.000000Z,137.83,Muzli /Eddy
60,AH5,EDL,3136,L4-3D,1905,-7.74402,110.28101,170,2004-05-22T04:00:00.000000Z,2004-06-04T03:40:00.000000Z,12.99,Pit
61,AG2,EDL,3148,L4-3D,1901,-7.63401,109.99567,210,2004-05-22T08:00:00.000000Z,2004-10-05T09:00:00.000000Z,136.04,Mirjam
62,AK5,EDL,3138,T40,4281,-8.03656,110.98417,230,2004-05-22T05:00:00.000000Z,2004-10-08T12:00:00.000000Z,139.29,Welle
63,DK1,EDL,3119,L4-3D,1889,-7.32878,111.12865,170,2004-05-21T08:00:00.000000Z,2004-06-10T10:00:00.000000Z,20.08,Dagmar
64,DK2,EDL,3110,L4-3D,1829,-7.20901,111.09905,125,2004-05-21T03:00:00.000000Z,2004-10-01T07:00:00.000000Z,133.17,Dagmar
65,AH2,EDL,3123,L4-3D,1892,-7.92381,110.22264,75,2004-05-25T09:00:00.000000Z,2004-10-08T05:00:00.000000Z,135.83,Muzli
66,DJ1,EDL,3116,L4-3D,1878,-7.23831,110.73718,170,2004-05-22T07:00:00.000000Z,2004-10-01T12:00:00.000000Z,132.21,Ingo
67,DH1,EDL,3065,L4-3D,1333A,-7.11215,110.42958,280,2004-05-24T07:00:00.000000Z,2004-10-01T05:00:00.000000Z,129.92,Dagmar
68,DH2,EDL,3053,L4-3D,1191,-7.14759,110.32017,750,2004-05-25T06:00:00.000000Z,2004-10-01T07:00:00.000000Z,129.04,Dagmar
69,DI1,EDL,3131,L4-3D,1898,-7.17086,110.60024,100,2004-05-24T06:00:00.000000Z,2004-06-11T02:30:00.000000Z,17.85,Ingo
70,DI2,EDL,3086,L4-3D,1345A,-7.03794,110.67457,30,2004-05-24T09:00:00.000000Z,2004-07-20T09:00:00.000000Z,57.0,Ingo
71,DJ2,EDL,3088,L4-3D,1346A,-7.10987,110.76478,70,2004-05-25T07:00:00.000000Z,2004-05-27T04:00:00.000000Z,1.88,Ingo
72,DE1,EDL,3101,L4-3D,1361A,-6.96582,109.80323,150,2004-05-24T08:00:00.000000Z,2004-09-27T17:00:00.000000Z,126.38,Welle
73,CG4,EDL,3047,L4-3D,1187,-7.35985,110.13804,960,2004-05-26T07:30:00.000000Z,2004-10-04T10:00:00.000000Z,131.1,Welle
74,DJ3,EDL,3115,L4-3D,1876,-7.27839,110.85932,140,2004-05-26T08:00:00.000000Z,2004-10-01T04:00:00.000000Z,127.83,Ingo
75,DK3,EDL,3063,L4-3D,1333,-7.1508,110.92612,80,2004-05-27T04:00:00.000000Z,2004-09-27T09:00:00.000000Z,123.21,Ingo
76,DL1,EDL,3103,L4-3D,1815,-7.2053,111.23194,125,2004-05-27T08:00:00.000000Z,2004-09-25T03:00:00.000000Z,120.79,Ingo
