time_utc,latitude,longitude,depth,errh_km,errz_km,nbranch,cid,id,rmsP,rmsS
2004-07-15T20:27:54.599000Z,-8.0687,110.35696,123.665,-1.0,-1.0,1,104,174,0.0,0.0
2004-07-17T18:37:05.936000Z,-8.47157,110.70743,28.54,0.3,0.483,2,15,175,0.04,0.05
2004-07-17T20:19:50.037000Z,-8.37565,111.66845,122.759,-1.0,-1.0,1,175,176,0.0,0.0
2004-07-18T07:26:38.652000Z,-8.6905,110.84716,99.617,-1.0,-1.0,1,323,177,0.0,0.0
2004-07-18T08:08:20.958000Z,-8.23732,110.72429,138.16,-1.0,-1.0,1,64,178,0.0,0.0
2004-07-18T16:17:31.234000Z,-7.65277,111.18776,1.161,0.223,0.104,2,20,179,0.15,0.15
2004-07-18T17:22:30.653000Z,-8.50104,110.68549,31.51,0.297,0.483,2,15,180,0.04,0.05
2004-07-20T10:03:49.377000Z,-8.3381,110.89011,21.995,-1.0,-1.0,1,180,181,0.0,0.0
2004-07-21T13:37:41.917000Z,-7.4334,109.60025,14.233,-1.0,-1.0,1,45,182,0.0,0.0
2004-07-21T19:34:03.480000Z,-8.04235,110.46873,98.958,-1.0,-1.0,1,182,183,0.0,0.0
2004-07-22T16:38:19.535000Z,-7.10307,109.10009,26.731,-1.0,-1.0,1,65,184,0.0,0.0
2004-07-23T21:46:52.544000Z,-8.92762,110.40465,20.554,-1.0,-1.0,1,184,185,0.0,0.0
2004-07-24T16:19:53.460000Z,-8.75636,109.80489,41.143,-1.0,-1.0,1,85,186,0.0,0.0
2004-07-24T21:21:50.254000Z,-8.35325,109.22776,50.202,-1.0,-1.0,1,186,187,0.0,0.0
2004-07-24T23:53:53.360000Z,-8.91708,110.21264,63.05,-1.0,-1.0,1,93,188,0.0,0.0
2004-07-25T04:52:23.355000Z,-8.74714,110.32073,37.108,-1.0,-1.0,1,188,189,0.0,0.0
2004-07-25T17:32:04.513000Z,-8.34666,110.49401,51.932,-1.0,-1.0,1,78,190,0.0,0.0
2004-07-25T20:11:22.550000Z,-8.03181,110.86786,133.548,-1.0,-1.0,1,190,191,0.0,0.0
2004-07-25T21:12:11.462000Z,-8.38355,111.51134,126.218,-1.0,-1.0,1,47,192,0.0,0.0
2004-07-26T04:44:06.501000Z,-7.79601,110.2334,8.283,-1.0,-1.0,1,192,193,0.0,0.0
2004-07-26T08:21:57.706000Z,-8.28079,109.6713,67.415,-1.0,-1.0,1,193,194,0.0,0.0
2004-07-26T19:18:09.990000Z,-8.82355,110.30736,10.424,-1.0,-1.0,1,194,195,0.0,0.0
2004-07-26T21:31:31.236000Z,-8.71816,110.67792,36.284,-1.0,-1.0,1,147,196,0.0,0.0
2004-07-26T22:38:36.208000Z,-8.61145,110.27682,98.628,-1.0,-1.0,1,196,197,0.0,0.0
2004-07-26T23:36:50.266000Z,-8.66547,110.3181,50.45,-1.0,-1.0,1,197,198,0.0,0.0
2004-07-27T11:08:05.807000Z,-7.64811,111.18396,0.91,0.216,0.107,2,20,199,0.15,0.15
2004-07-29T10:22:35.609000Z,-8.09637,110.39022,128.194,-1.0,-1.0,1,99,200,0.0,0.0
2004-07-29T11:02:56.735000Z,-8.32255,110.27803,22.996,0.582,0.851,3,9,201,0.21,0.27
2004-07-29T12:57:16.166000Z,-8.91049,110.36599,30.025,-1.0,-1.0,1,201,202,0.0,0.0
2004-07-29T22:50:24.654000Z,-7.99625,110.89576,119.465,-1.0,-1.0,1,202,203,0.0,0.0
2004-07-30T02:05:48.382000Z,-8.26647,110.29346,28.86,0.396,0.493,16,1,204,0.2,0.2
2004-07-30T10:42:56.451000Z,-8.27421,111.30472,133.877,-1.0,-1.0,1,204,205,0.0,0.0
2004-07-30T13:55:34.113000Z,-7.98538,110.642,11.968,-1.0,-1.0,1,205,206,0.0,0.0
2004-07-30T15:30:17.557000Z,-7.89349,110.88236,116.994,-1.0,-1.0,1,206,207,0.0,0.0
2004-07-30T18:39:38.222000Z,-8.30692,110.26038,28.744,0.462,0.571,16,1,208,0.19,0.22
2004-07-31T21:09:55.525000Z,-8.8196,109.80477,41.143,-1.0,-1.0,1,103,209,0.0,0.0
2004-08-01T13:19:15.518000Z,-7.63526,111.34703,4.948,0.534,0.777,4,5,210,0.21,0.32
2004-08-01T14:01:00.413000Z,-7.63738,111.34715,4.998,0.412,0.399,4,5,211,0.17,0.11
2004-08-01T14:17:00.891000Z,-7.63228,111.34502,4.611,0.386,0.682,4,5,212,0.24,0.34
2004-08-01T14:20:59.061000Z,-7.63228,111.34479,5.069,0.317,0.452,4,5,213,0.19,0.07
2004-08-01T20:33:08.823000Z,-8.66942,110.77784,98.628,-1.0,-1.0,1,213,214,0.0,0.0
2004-08-02T07:29:43.795000Z,-7.11032,109.79107,3.63,-1.0,-1.0,1,214,215,0.0,0.0
2004-08-02T17:34:06.738000Z,-6.66768,110.92044,8.571,-1.0,-1.0,1,107,216,0.0,0.0
2004-08-03T04:00:26.744000Z,-8.27092,110.09398,75.445,-1.0,-1.0,1,216,217,0.0,0.0
2004-08-03T04:38:48.175000Z,-8.27948,109.31852,70.298,-1.0,-1.0,1,217,218,0.0,0.0
2004-08-03T16:30:29.244000Z,-8.65361,111.12962,61.732,-1.0,-1.0,1,218,219,0.0,0.0
2004-08-03T17:54:48.113000Z,-8.49353,110.743,38.14,0.336,0.58,2,17,220,0.06,0.1
2004-08-04T02:31:56.561000Z,-8.49159,110.7425,36.858,0.333,0.58,2,17,221,0.06,0.1
2004-08-04T03:06:11.201000Z,-8.62068,110.4487,37.931,-1.0,-1.0,1,221,222,0.0,0.0
2004-08-04T15:10:40.319000Z,-8.87624,110.15,24.095,-1.0,-1.0,1,222,223,0.0,0.0
2004-08-04T19:02:33.338000Z,-7.3099,109.95346,60.744,-1.0,-1.0,1,111,224,0.0,0.0
2004-08-05T05:24:32.868000Z,-8.319,110.32226,37.52,-1.0,-1.0,1,224,225,0.0,0.0
2004-08-05T20:21:18.872000Z,-8.38618,110.49667,45.179,-1.0,-1.0,1,225,226,0.0,0.0
2004-08-06T06:39:09.128000Z,-8.9184,110.28864,9.93,-1.0,-1.0,1,226,227,0.0,0.0
2004-08-09T18:54:11.068000Z,-7.26493,109.70548,9.828,0.209,0.139,2,19,228,0.2,0.14
2004-08-10T19:16:02.246000Z,-7.23186,109.91237,3.273,0.058,0.203,5,4,229,0.04,0.03
2004-08-10T19:16:52.469000Z,-7.23167,109.91306,3.493,0.067,0.166,5,4,230,0.05,0.03
2004-08-10T19:19:21.289000Z,-7.2316,109.91198,3.711,0.058,0.193,5,4,231,0.05,0.04
2004-08-10T19:21:43.371000Z,-7.23149,109.91221,3.681,0.055,0.169,5,4,232,0.04,0.03
2004-08-11T12:50:33.349000Z,-8.39672,111.53801,120.782,-1.0,-1.0,1,232,233,0.0,0.0
2004-08-12T08:20:34.615000Z,-7.27484,109.71381,8.158,0.21,0.139,2,19,234,0.2,0.14
2004-08-12T15:46:46.212000Z,-9.09493,110.60073,14.542,-1.0,-1.0,1,234,235,0.0,0.0
2004-08-13T02:46:58.054000Z,-8.91708,109.87126,39.99,-1.0,-1.0,1,117,236,0.0,0.0
2004-08-13T02:56:38.552000Z,-8.86044,109.85403,21.295,-1.0,-1.0,1,236,237,0.0,0.0
2004-08-13T16:17:13.078000Z,-7.51672,110.98035,18.989,-1.0,-1.0,1,237,238,0.0,0.0
2004-08-13T21:56:45.177000Z,-7.22954,109.61228,14.871,-1.0,-1.0,1,238,239,0.0,0.0
2004-08-14T19:45:50.541000Z,-8.69091,110.24939,37.794,0.583,0.326,2,23,240,0.23,0.15
2004-08-15T10:40:53.852000Z,-6.72039,110.72027,9.674,0.124,0.144,4,6,241,0.09,0.24
2004-08-15T16:43:50.361000Z,-8.39956,109.73083,50.737,0.0,0.0,2,21,242,0.23,0.14
