time,latitude,longitude,depth,rms,nphs,gap,dist,errh_km,errz_km,time_utc
1092434205.177161,-7.229539,109.612277,14.871419,0.199229,11,187.603,2.60521,3.48,2.3,2004-08-13 21:56:45.177160978+00:00
1092512750.636564,-8.686544,110.240799,37.931315,0.416292,29,272.131,75.4181,4.42,7.22,2004-08-14 19:45:50.636564016+00:00
1092566453.846905,-6.722025,110.720517,9.415283,0.192367,18,137.639,10.0428,1.2,2.37,2004-08-15 10:40:53.846904993+00:00
1092588230.314214,-8.407262,109.721634,48.967122,0.302941,32,263.467,72.8038,3.56,6.99,2004-08-15 16:43:50.314213991+00:00
1092657693.416946,-7.350407,109.622996,0.232503,0.126806,8,249.391,9.56059,4.55,3.56,2004-08-16 12:01:33.416945934+00:00
1092676759.756692,-7.267413,109.999656,12.380127,0.187152,16,75.1233,1.07282,1.26,1.71,2004-08-16 17:19:19.756691933+00:00
1092819856.502346,-8.849897,110.219354,34.966471,0.425851,39,283.879,92.7015,3.53,7.69,2004-08-18 09:04:16.502346038+00:00
1092897211.08621,-8.536364,109.702724,40.072591,0.431704,89,272.937,80.7823,2.66,5.05,2004-08-19 06:33:31.086210012+00:00
1092915901.170559,-8.257742,110.360224,56.008626,0.295127,27,241.436,28.0732,3.99,2.66,2004-08-19 11:45:01.170558929+00:00
1092943261.407615,-8.269598,110.271029,35.995931,0.21721,35,247.447,30.8356,2.28,1.93,2004-08-19 19:21:01.407614946+00:00
1093113233.810467,-7.677114,111.158984,-0.96167,0.210395,13,209.423,5.19523,2.65,1.7,2004-08-21 18:33:53.810467005+00:00
1093113392.518404,-7.514748,109.868824,15.159668,0.115046,8,124.373,15.4461,1.65,3.13,2004-08-21 18:36:32.518404007+00:00
1093211169.554695,-7.99394,110.418515,19.009847,0.269351,30,136.595,6.99963,1.46,1.3,2004-08-22 21:46:09.554694891+00:00
1093331310.193196,-8.116784,110.39221,116.787923,0.431991,102,198.826,13.0221,3.11,2.11,2004-08-24 07:08:30.193196058+00:00
1093474649.382756,-8.244568,110.292342,31.383952,0.162874,14,256.039,35.098,2.81,3.67,2004-08-25 22:57:29.382755995+00:00
1093541407.516129,-7.783491,110.674174,40.278483,0.144067,10,119.978,11.547,3.23,2.99,2004-08-26 17:30:07.516129017+00:00
1093728889.295704,-8.019299,110.328377,112.670085,0.38303,64,185.453,3.41468,3.47,1.97,2004-08-28 21:34:49.295703888+00:00
1093873271.655921,-7.283222,109.554068,6.368083,0.109983,12,226.496,6.4341,1.59,1.68,2004-08-30 13:41:11.655920982+00:00
1093878388.752903,-7.500257,109.872832,13.84196,0.0675791,9,186.419,18.969,2.16,3.13,2004-08-30 15:06:28.752902985+00:00
1093891715.742852,-7.288162,109.545093,2.641439,0.0394426,8,245.174,7.56167,3.03,2.2,2004-08-30 18:48:35.742851973+00:00
1093961232.351577,-8.855166,110.275346,26.07194,0.381056,34,286.855,90.8503,3.44,6.6,2004-08-31 14:07:12.351577044+00:00
1093962590.249347,-7.051695,111.865227,11.000651,0.388125,42,273.297,43.9554,3.68,5.22,2004-08-31 14:29:50.249346972+00:00
1093977089.334327,-7.816425,110.573129,18.618652,0.119334,10,174.104,5.48038,3.13,2.48,2004-08-31 18:31:29.334326982+00:00
1094086912.362831,-7.506844,109.871493,13.018392,0.117567,8,183.039,16.2592,3.04,3.18,2004-09-02 01:01:52.362831116+00:00
1094172304.203831,-8.516604,109.733402,40.978516,0.419415,51,270.215,78.0804,3.11,5.96,2004-09-03 00:45:04.203830957+00:00
1094282249.627992,-6.720707,110.716537,9.703532,0.244895,25,131.076,10.4885,1.28,2.57,2004-09-04 07:17:29.627991915+00:00
1094323101.153952,-8.346664,110.310263,30.189779,0.264369,19,264.322,56.4514,3.32,8.76,2004-09-04 18:38:21.153951883+00:00
1094339682.041587,-7.773281,110.049599,13.491943,0.120418,10,125.824,7.0291,1.29,2.42,2004-09-04 23:14:42.041587114+00:00
1094396265.034161,-6.716097,110.721841,9.991781,0.24769,24,123.73,9.9448,1.53,3.38,2004-09-05 14:57:45.034161091+00:00
1094441226.91761,-7.760437,110.684136,39.496094,0.102245,10,249.201,12.4181,3.75,1.91,2004-09-06 03:27:06.917609930+00:00
1094479427.714408,-8.494208,111.548928,124.405924,0.477696,94,293.04,80.2464,3.93,2.89,2004-09-06 14:03:47.714407921+00:00
1094489565.905526,-8.512652,110.579254,20.96582,0.229688,13,292.259,55.5607,4.84,13.03,2004-09-06 16:52:45.905525923+00:00
1094569028.513947,-8.46325,110.855606,25.701335,0.320874,42,285.363,36.1922,2.49,3.66,2004-09-07 14:57:08.513947010+00:00
1094578250.007454,-8.270915,110.267035,36.243001,0.219176,26,257.523,31.1106,2.6,2.59,2004-09-07 17:30:50.007453918+00:00
1094592768.587391,-8.519238,109.949191,42.13151,0.28582,23,266.634,72.561,4.1,7.26,2004-09-07 21:32:48.587390900+00:00
1094643310.787552,-6.698971,110.760963,11.185954,0.133256,18,177.424,6.30609,1.0,0.86,2004-09-08 11:35:10.787552118+00:00
1094693974.331107,-7.634299,111.10841,7.685791,0.372195,36,97.1549,2.80535,1.6,1.77,2004-09-09 01:39:34.331106901+00:00
1094836948.230817,-7.627054,111.119697,8.22111,0.215131,19,131.744,1.93705,0.96,0.8,2004-09-10 17:22:28.230817080+00:00
1094867000.039316,-7.533192,109.875442,10.053548,0.262886,16,166.711,13.2972,1.47,2.98,2004-09-11 01:43:20.039315939+00:00
1094942508.787891,-8.471155,111.104678,32.784017,0.0996669,13,276.565,31.8894,3.01,3.4,2004-09-11 22:41:48.787890911+00:00
1095002259.400208,-8.334149,111.470605,4.947428,0.446281,75,284.425,31.5677,2.95,2.71,2004-09-12 15:17:39.400207996+00:00
1095020315.379942,-8.46852,110.79834,21.99528,0.224856,18,265.253,40.6218,2.6,5.23,2004-09-12 20:18:35.379941940+00:00
1095094472.203661,-8.444149,110.810973,23.107096,0.181621,15,270.599,40.1714,2.63,6.35,2004-09-13 16:54:32.203660965+00:00
1095153118.433255,-8.57852,110.001064,29.366211,0.476199,63,256.466,74.724,2.6,4.07,2004-09-14 09:11:58.433254957+00:00
1095190318.889501,-8.174089,110.867986,95.004557,0.220863,37,176.259,1.66284,4.2,1.85,2004-09-14 19:31:58.889501095+00:00
1095192047.614768,-8.451394,110.80765,22.24235,0.192411,22,263.275,41.0037,2.28,5.29,2004-09-14 20:00:47.614768028+00:00
1095199635.904151,-7.921814,110.656942,15.653809,0.210856,20,110.569,4.96593,1.07,1.17,2004-09-14 22:07:15.904150963+00:00
1095421616.480195,-7.351395,110.031109,8.98291,0.243693,19,121.043,10.1269,1.57,1.53,2004-09-17 11:46:56.480195045+00:00
1095423343.124379,-8.576544,110.733144,28.007324,0.243745,43,264.523,47.159,2.12,3.97,2004-09-17 12:15:43.124378920+00:00
1095429485.083702,-8.122053,110.158003,97.598796,0.344441,51,206.803,23.159,4.12,2.27,2004-09-17 13:58:05.083702087+00:00
1095501746.3692,-8.607502,110.400737,39.08431,0.408448,23,280.698,60.2782,4.47,6.51,2004-09-18 10:02:26.369199991+00:00
1095506260.210637,-7.715976,110.011107,13.121338,0.120505,10,135.739,9.27352,1.21,1.74,2004-09-18 11:17:40.210637093+00:00
1095614573.005119,-8.2887,110.243727,30.025065,0.104432,8,265.78,54.7994,4.73,10.8,2004-09-19 17:22:53.005119085+00:00
1095635470.29137,-6.904809,111.296183,-1.72347,0.0806468,9,129.07,18.2504,3.89,7.13,2004-09-19 23:11:10.291369915+00:00
1095639196.523714,-8.436244,110.800313,30.025065,0.215478,11,262.412,37.8219,3.76,4.87,2004-09-20 00:13:16.523714066+00:00
