idx,time_utc,latitude,longitude,depth,n_picks,n_stations,n_P,n_S
238,2004-06-09T04:13:39.255214Z,-8.532838266367518,110.204653412537,85.44921875,15,8,8,7
239,2004-06-09T04:28:50.391201Z,-8.181955976034356,109.06101030354128,81.54296875,16,10,10,6
240,2004-06-09T09:14:42.839489Z,-7.499504566096275,110.9034095655391,121.58203125,10,6,6,4
241,2004-06-09T15:22:25.470224Z,-8.268572386676281,110.72614812728303,40.52734375,15,9,7,8
242,2004-06-09T17:33:09.992991Z,-8.279525633300668,111.45085941888775,122.55859375,57,37,32,25
243,2004-06-09T19:42:15.779388Z,-8.484824715716174,110.26829756750676,101.07421875,47,32,21,26
244,2004-06-09T23:18:44.106445Z,-8.07560426675853,109.69668818158516,96.19140625,17,13,6,11
245,2004-06-10T04:04:48.703517Z,-8.917258132453918,110.16613959441355,12.20703125,62,44,40,22
246,2004-06-10T04:34:58.381681Z,-8.4117866925293,109.60698198646622,47.36328125,40,25,21,19
247,2004-06-10T07:56:09.486720Z,-8.749188404224018,110.63731363318166,64.94140625,15,8,8,7
248,2004-06-10T11:23:24.069028Z,-8.881344808910265,110.36992885702796,62.01171875,9,5,4,5
249,2004-06-10T12:20:46.576264Z,-7.36601521681161,109.34284285793343,9.27734375,19,11,11,8
250,2004-06-10T17:45:30.698164Z,-8.71306119194412,110.79004933475959,46.38671875,34,18,17,17
251,2004-06-11T06:19:43.144317Z,-8.893218414119476,110.15342656547016,32.71484375,22,13,12,10
252,2004-06-11T12:02:27.572576Z,-8.2655527517822,108.93360644976381,125.48828125,21,17,10,11
253,2004-06-11T13:07:51.613106Z,-8.83330922036865,110.45907870263258,28.80859375,33,18,16,17
254,2004-06-11T15:56:02.541003Z,-8.280435087411517,110.91687499966984,98.14453125,8,4,4,4
255,2004-06-11T17:31:51.668220Z,-7.366047934133547,109.35552747353915,16.11328125,13,8,7,6
256,2004-06-11T22:12:38.776535Z,-8.773231504142682,110.58639761012995,62.98828125,9,6,4,5
257,2004-06-11T22:21:47.433725Z,-8.280506733728481,110.16670261002677,91.30859375,30,18,15,15
258,2004-06-12T00:51:20.828867Z,-9.037543485796721,110.58645705752228,78.61328125,21,13,12,9
259,2004-06-12T08:26:59.411828Z,-9.503929021582204,111.73461979333243,16.11328125,18,14,8,10
260,2004-06-12T13:18:55.059251Z,-8.316630323347367,110.28111484768826,30.76171875,24,14,13,11
261,2004-06-12T16:09:12.561314Z,-8.916998491316772,109.94963228724208,0.48828125,58,45,36,22
262,2004-06-12T17:33:32.579056Z,-8.400489920700725,110.9933113791123,94.23828125,17,9,9,8
263,2004-06-12T17:52:39.851739Z,-8.388101823913667,111.23493117808046,103.02734375,22,14,12,10
264,2004-06-12T19:24:08.403378Z,-8.328356519820304,111.03136914011773,113.76953125,8,5,4,4
265,2004-06-12T21:09:56.040916Z,-8.520833582450258,110.21738528840669,38.57421875,25,13,13,12
266,2004-06-12T22:31:08.139212Z,-7.499200663754003,109.85007074295604,12.20703125,12,6,6,6
267,2004-06-13T06:09:42.162123Z,-8.169322403789675,108.8958649674574,125.48828125,21,15,10,11
268,2004-06-13T07:35:31.910054Z,-8.73714635626472,110.30633117558959,6.34765625,60,37,34,26
269,2004-06-13T15:13:02.670741Z,-9.021949141774444,112.12775786835061,219.23828125,18,15,14,4
